nama_menu,harga_menu,kategori_course,profil_rasa,nama_restoran,link_restoran,alamat,link_alamat
Bihun goreng Ayam,23800,Main Course,asin gurih  bihun ayam ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Mie goreng Ayam,26600,Main Course,asin gurih  mie ayam ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Nasi Goreng Ayam,26600,Main Course,asin gurih  nasi  ayam,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Kwetiau goreng Baso,23800,Main Course,asin gurih  kwetiau bakso,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Kwetiua goreng Ayam,23800,Main Course,asin gurih  kwetiau ayam,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Cap cay Goreng,33300,Main Course,asin gurih  sayur ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Mie goreng Baso,26600,Main Course,asin gurih  mie bakso ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Nasi Goreng Sayur,23800,Main Course,asin gurih  nasi  sayur,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Ayam goreng Mentega,38000,Main Course,asin gurih  ayam ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Kerang Ijo Saus Padang,35000,Main Course,asin gurih pedas kerang ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Ayam Rica Rica,38000,Main Course,asin gurih pedas  ayam ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Sapo Tahu Ayam,32000,Main Course,asin gurih  ayam tahu ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Fuyung Hay Ayam,35000,Main Course,asin gurih manis telur ayam ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Capcay Kuah Ayam,33300,Main Course,asin gurih  sayur ayam ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Kangkung Cah,23000,Main Course,asin gurih  sayur ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Cah Brokoli,23000,Main Course,asin gurih    sayur,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Cah Toge,20000,Main Course,asin gurih    sayur,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Capcay goreng Seafood,40000,Main Course,asin gurih   ikan udang  sayur udang,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Sapo Tahu Seafood,40000,Main Course,asin gurih  ikan udang  tahu  sayur ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Sapi SapoTahu,34000,Main Course,asin gurih  sapi tahu  sayur,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Fuyung Hai Seafood,40000,Main Course,asin gurih manis ikan udang  telur,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Udang Sapo Tahu,35000,Main Course,asin gurih  udang tahu  sayur,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Kangkung Cah Cumi,30000,Main Course,asin gurih   cumi sayur,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Sop Ayam Kuah,32000,Main Course,asin gurih  ayam ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
